,Muito Baixo,Baixo,Médio,Alto,Muito Alto,Muito Baixo(pct_total),Baixo(pct_total),Médio(pct_total),Alto(pct_total),Muito Alto(pct_total)
2003,18.62,5.859999999999999,0.0,4.32,0.11,0.49,1.31,0.0,4.37,0.06
2004,22.32,5.859999999999999,0.0,4.32,0.11,0.59,1.31,0.0,4.37,0.06
2007,29.35,5.859999999999999,0.0,4.32,0.11,0.78,1.31,0.0,4.37,0.06
2009,32.34,5.859999999999999,0.0,4.32,0.11,0.86,1.31,0.0,4.37,0.06
2010,33.34,5.859999999999999,0.0,4.32,0.11,0.88,1.31,0.0,4.37,0.06
2011,36.010000000000005,6.97,0.64,4.32,0.11,0.95,1.56,0.33,4.37,0.06
2012,52.050000000000004,8.69,0.64,4.32,0.11,1.38,1.94,0.33,4.37,0.06
2013,54.190000000000005,8.69,0.64,6.140000000000001,3.2399999999999998,1.43,1.94,0.33,6.21,1.89
2014,64.63000000000001,8.959999999999999,5.14,6.550000000000001,14.520000000000001,1.71,2.0,2.65,6.63,8.47
2015,95.12,14.969999999999999,8.77,6.910000000000001,17.67,2.52,3.34,4.53,6.99,10.31
2016,127.80000000000001,22.869999999999997,12.049999999999999,10.21,18.360000000000003,3.38,5.11,6.22,10.33,10.71
2017,146.65,25.699999999999996,14.93,10.21,18.360000000000003,3.88,5.74,7.7,10.33,10.71
2018,164.71,27.679999999999996,19.17,10.21,26.240000000000002,4.36,6.18,9.89,10.33,15.3
2019,183.55,39.709999999999994,19.17,10.420000000000002,26.35,4.86,8.87,9.89,10.54,15.37
2020,226.39000000000001,49.449999999999996,24.740000000000002,13.400000000000002,26.48,5.99,11.05,12.77,13.56,15.44
2021,228.75000000000003,54.78999999999999,24.930000000000003,13.790000000000003,26.48,6.05,12.24,12.86,13.95,15.44
2022,250.97000000000003,67.13999999999999,38.160000000000004,19.070000000000004,33.01,6.64,15.0,19.69,19.3,19.25
