COD_ACIDENTE;DATA;LOG1;LOG2;NUMERO;BAIRRO;AMC;NATUREZA;ILUMINACAO;TEMPO;SUPERFICIEPISTA;TIPOCRUZAMENTO;CONTROLETRAFEGO;USOSOLO;COORDENADAS
BPG5280;2021-04-03 15:50:00;Avenida Treze de Maio;RUA WALDERY UCHOA;;BENFICA;970419;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Não há Controle;Longo da via;(-38.53746250917975 -3.742367072549246);
YHL9611;2021-12-10 19:45:00;Avenida Doutor Valmir Pontes;;;EDSON QUEIROZ;YHL9611;Colisão;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.48184958183509 -3.771433265516533);
XFD8852;2021-12-10 19:50:00;Rua Teodoro de Castro;RUA BARRA VERMELHA;;GRANJA PORTUGAL;XFD8852;Colisão;Não informado;Não informado;Não informado;Cruz;Não informado;Longo da via;(-38.6120241 -3.7778047);
EGK0624;2021-12-10 20:05:00;Avenida José Bastos;;;DEMOCRITO ROCHA;EGK0624;Atropelamento;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.5590403 -3.7571313);
UTI9648;2021-12-10 20:26:00;Avenida Francisco Sá;;;FLORESTA;UTI9648;Colisão;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.57819989664841 -3.710264670377494);
GSK5149;2021-12-10 20:48:00;Avenida Contôrno Norte;;;CONJUNTO ESPERANCA;GSK5149;Colisão;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.58793095728806 -3.813697949018185);
JSO6407;2021-12-10 21:27:00;Rua Antônio Nery;RUA TEODORO DE CASTRO;;GRANJA PORTUGAL;JSO6407;Colisão;Não informado;Não informado;Não informado;Cruz;Não informado;Longo da via;(-38.60100389999999 -3.7808823);
KVJ8223;2021-12-10 21:50:00;Avenida Alberto Craveiro;;;DIAS MACEDO;KVJ8223;Queda;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.51729766016373 -3.789728945707311);
RBP3981;2021-12-10 22:15:00;Rua Professor Jacinto Botelho;;;GUARARAPES;RBP3981;Colisão;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.49055602408717 -3.760256545702985);
VTL9452;2021-12-10 23:32:00;Rua Cônego de Castro;;;PARQUE SANTA ROSA;VTL9452;Colisão;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.60015705860129 -3.816412100191126);
LWW4121;2021-12-11 00:10:00;Avenida Dolor Barreira;;;VICENTE PINZON;LWW4121;Atropelamento;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.47250476750381 -3.729541240854922);
JWC8570;2021-12-11 00:14:00;Avenida Governador Raul Barbosa;;;AEROLANDIA;JWC8570;Queda;Não informado;Não informado;Não informado;Meio de quadra;Não informado;Longo da via;(-38.51342991030727 -3.776957338356971);
