COD_ACIDENTE;MORTOS;FERIDOS;ILESOS
BPG5280;0;1;0;
YHL9611;0;1;0;
XFD8852;0;1;0;
EGK0624;0;1;0;
UTI9648;0;1;0;
GSK5149;0;2;0;
JSO6407;0;1;0;
KVJ8223;0;1;0;
RBP3981;0;1;0;
VTL9452;0;1;0;
LWW4121;0;1;0;
JWC8570;0;1;0;
ARB3743;0;1;0;
XWX6132;0;2;0;
CTA6467;0;1;0;
VCN3475;0;1;0;
JYW1499;0;1;0;
SKL7331;0;1;0;
FXN4626;0;1;0;
WTQ0599;0;1;0;
KVM0686;0;1;0;
BET2058;0;1;0;
HOY5690;0;1;0;
IKQ4310;0;1;0;
GRN9199;0;1;0;
EYM9524;0;1;0;
EYM9524;0;1;0;
HZM6700;0;1;0;
SCL6828;0;1;0;
ERN7235;0;1;0;
GNN7604;0;1;0;
PKY6906;0;2;0;
ETA5156;0;1;0;
GHE3849;0;1;0;
HGT7773;0;1;0;
OFW5979;0;1;0;
BZK2509;0;1;0;
AAE0066;0;1;0;
BGZ3823;0;1;0;
PMW5163;0;1;0;
WZD9833;0;1;0;
ZQD3371;0;1;0;
SED4765;0;1;0;
ZAH9948;0;1;0;
ZSV0064;0;1;0;
NWL4235;0;1;0;
HWG1508;0;1;0;
ORF8572;0;1;0;
WZT4601;0;1;0;
GIV6049;0;1;0;
STG8019;0;1;0;
OWU5951;0;1;0;
QQX9953;0;1;0;
PGG0893;0;1;0;
IYJ5870;0;1;0;
IIA2924;0;1;0;
HMB7074;0;1;0;
CZT2552;0;1;0;
UKF8974;0;1;0;
XRU9243;0;4;0;
OSZ9050;0;1;0;
BVP7871;0;1;0;
PBT2472;0;1;0;
KCB3688;0;1;0;
TTT1560;0;1;0;
PZY1179;0;3;0;
SMO8678;0;1;0;
OOF9297;0;1;0;
TKH7734;0;1;0;
MHL0947;0;1;0;
KZH3520;0;1;0;
NZQ4476;0;1;0;
MGN1165;0;1;0;
BCG8685;0;1;0;
BBJ2573;0;2;0;
JLZ0983;0;1;0;
MAG0909;0;1;0;
WMO9231;0;1;0;
HJW9064;0;2;0;
EFQ4713;0;1;0;
CQI6856;0;1;0;
MTB1167;0;2;0;
GBK2607;0;1;0;
CMF5601;0;1;0;
HQL5599;0;1;0;
GOJ9505;0;1;0;
PFL1416;0;2;0;
EHB5895;0;1;0;
SOF8969;0;1;0;
TJT1849;0;2;0;
ZCL9395;0;1;0;
ZGA1013;0;1;0;
AKK2344;0;1;0;
FBG2812;0;1;0;
KLO8762;0;1;0;
IYO9938;0;1;0;
BFY2835;0;1;0;
BNE4969;0;1;0;
EWS5586;0;1;0;
KZY8280;0;1;0;
JGS5244;0;1;0;
NQZ1381;0;1;0;
PYD2584;0;1;0;
QQJ8702;0;1;0;
QUK3768;0;1;0;
JKC3016;0;1;0;
RRZ0904;0;1;0;
