COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
DCA3537;0;2;0;0;0;0;0;0;0;0;
UMF4535;0;0;0;0;1;0;1;0;0;0;
DSS5743;1;0;0;1;0;0;0;0;0;0;
HIH7360;2;0;0;0;0;0;0;0;0;0;
EET9346;1;0;0;0;1;0;0;0;0;0;
KAD5023;1;1;0;0;0;0;0;0;0;0;
ZFD8288;0;1;0;0;1;0;0;0;0;0;
VSU1976;1;0;0;0;0;0;1;0;0;0;
IEQ7114;1;1;0;0;0;0;0;0;0;0;
GLL2160;1;1;0;0;1;0;0;0;0;0;
BYD7658;1;0;0;0;0;0;0;0;0;0;
DHA3700;1;0;0;0;1;0;0;0;0;0;
XQT4546;0;1;0;0;0;0;0;0;0;0;
SDM2581;1;1;0;0;0;0;0;0;0;0;
VTV2642;0;1;0;0;0;0;1;0;0;0;
UCB9857;0;2;0;0;0;0;0;0;0;0;
TJZ2073;1;1;0;0;0;0;0;0;0;0;
FBB2903;0;1;0;0;0;0;0;0;0;0;
USV4019;0;1;0;0;0;0;1;0;0;0;
QAT6587;1;1;0;0;0;0;0;0;0;0;
HRK1325;1;1;0;0;0;0;0;0;0;0;
MKK3879;0;2;0;0;0;0;0;0;0;0;
AMX9898;0;1;0;0;0;0;0;1;0;0;
BYV0061;1;1;0;0;0;0;0;0;0;0;
KJF2047;1;1;0;0;0;0;0;0;0;0;
RNQ8237;0;2;0;0;0;0;0;0;0;0;
PES3220;1;1;0;0;0;0;0;0;0;0;
UOI4317;1;0;0;0;0;0;0;0;0;0;
SWP5765;1;0;0;0;1;0;0;0;0;0;
EWY0516;1;1;0;0;0;0;0;0;0;0;
LOH2700;0;2;0;0;0;0;0;0;0;0;
PIT2062;1;1;0;0;0;0;0;0;0;0;
TBE9572;1;1;0;0;0;0;0;0;0;0;
SMQ4728;1;1;0;0;0;0;0;0;0;0;
DTT1915;0;2;0;0;0;0;0;0;0;0;
PWD5755;1;0;0;0;0;0;0;0;0;0;
IXZ9575;1;0;0;0;0;0;0;0;0;0;
WVN0408;1;0;0;1;0;0;0;0;0;0;
FKB8193;1;1;0;0;0;0;0;0;0;0;
FJJ8102;1;0;0;1;0;0;0;0;0;0;
HGC4264;2;0;0;0;0;0;0;0;0;0;
HGC4264;1;1;0;0;0;0;0;0;0;0;
PVL1086;1;1;0;0;0;0;0;0;0;0;
GOK6152;1;1;0;0;0;0;0;0;0;0;
YUE8300;1;1;0;0;0;0;0;0;0;0;
FVR4245;1;0;0;0;0;0;0;0;0;0;
RNV2291;1;1;0;0;0;0;0;0;0;0;
YJO3745;0;1;1;0;0;0;0;0;0;0;
LGH5337;2;0;0;0;0;0;0;0;0;0;
HXI1676;0;2;0;0;0;0;0;0;0;0;
EOV3412;0;1;0;0;1;0;0;0;0;0;
FYT4157;0;4;0;0;0;0;0;0;0;0;
MTP9457;1;1;0;0;0;0;0;0;0;0;
SHY6608;1;1;0;0;0;0;0;0;0;0;
OSB7079;1;1;0;0;0;0;0;0;0;0;
OMK5780;0;2;0;0;0;0;0;0;0;0;
GFW5831;0;0;0;0;0;0;0;0;0;0;
WQZ6549;1;0;0;0;0;0;1;0;0;0;
XCA4694;1;1;0;0;0;0;0;0;0;0;
KTV9828;1;1;0;0;0;0;0;0;0;0;
UZA7984;0;1;0;0;0;0;1;0;0;0;
KTV9828;1;1;0;0;0;0;0;0;0;0;
QVD1305;1;0;0;0;1;0;0;0;0;0;
DFZ8991;1;0;0;1;0;0;0;0;0;0;
UZD6995;0;3;0;0;0;0;0;0;0;0;
ZKQ5022;1;1;0;0;0;0;0;0;0;0;
KIC0656;1;0;0;0;1;0;0;0;0;0;
JUN9589;1;1;0;0;0;0;0;0;0;0;
BVC4042;1;1;0;0;0;0;0;0;0;0;
HJU0235;1;1;0;0;0;0;0;0;0;0;
TSC2229;1;1;0;0;0;0;0;0;0;0;
IET7636;0;1;0;1;0;0;0;0;0;0;
SCP4554;1;1;0;0;0;0;0;0;0;0;
LPS9473;0;2;0;0;0;0;0;0;0;0;
TFH5853;2;0;0;0;0;0;0;0;0;0;
ICN1564;1;1;0;0;0;0;0;0;0;0;
WHQ5032;0;1;0;0;0;0;0;0;0;0;
ZXS4786;0;3;0;0;0;0;0;0;0;0;
ZNM9673;0;2;0;0;0;0;0;0;0;0;
RYM9364;1;1;0;0;0;0;0;0;0;0;
DLN0488;1;0;0;0;0;0;0;0;0;0;
VRB5424;0;2;0;0;0;0;0;0;0;0;
LES9740;0;2;0;0;0;0;0;0;0;0;
QXC4526;1;1;0;0;0;0;0;0;0;0;
UXS2004;0;2;0;0;0;0;0;0;0;0;
HSN8880;1;1;0;0;0;0;0;0;0;0;
ZYC2433;1;1;0;0;0;0;0;0;0;0;
UOO7550;0;1;0;1;0;0;0;0;0;0;
DHS1002;0;1;0;0;0;0;0;0;0;1;
EDF3638;2;0;0;0;0;0;0;0;0;0;
LAT7619;1;1;0;0;0;0;0;0;0;0;
SUH4086;0;1;0;0;0;0;0;0;0;0;
SON0391;1;1;0;0;0;0;0;0;0;0;
EBF7929;0;1;0;1;0;0;0;0;0;0;
BZZ3583;1;1;0;0;0;0;0;0;0;0;
HMM1199;1;0;0;0;0;0;1;0;0;0;
VFE9448;0;2;0;0;0;0;0;0;0;0;
UQX9040;0;0;0;0;1;1;0;0;0;0;
FSD8171;0;2;0;0;0;0;0;0;0;0;
KUH2551;0;2;0;0;1;0;0;0;0;0;
QEG1328;2;0;0;0;0;0;0;0;0;0;
BYQ1882;0;1;0;0;0;0;1;0;0;0;
FGS4794;1;0;0;0;0;0;0;0;0;0;
QVB6406;1;0;0;0;1;0;0;0;0;0;
SLU5919;1;1;0;0;0;0;0;0;0;0;
CXG6913;1;1;0;0;0;0;0;0;0;0;
SBS3907;1;1;0;0;0;0;0;0;0;0;
